Name,Address,Prefecture,City,Phone,Other,Memo,Targets,BedCount,ICUBeds,DialysisBeds,DialysisPatients,HDFPatients,BetaMGPatients,ConsoleCount,GeneralBeds,DialysisRenewalYear
徳島健生病院,徳島県徳島市下助任町４－９,徳島県,徳島市,088-622-7771,,,,,,11,40,20,,11,186,
徳島大学病院,徳島県徳島市蔵本町２－５０－１,徳島県,徳島市,088-631-3111,,,,,,8,20,5,,8,643,
徳島市民病院,徳島県徳島市北常三島町２－３４,徳島県,徳島市,088-622-5121,,,,,,20,15,,,20,307,
徳島県立中央病院,徳島県徳島市蔵本町１－１０－３,徳島県,徳島市,088-631-7151,,,,,,10,10,1,,10,390,
徳島県鳴門病院,徳島県鳴門市撫養町黒崎字小谷３２,徳島県,鳴門市,088-683-0011,,,,,,22,50,20,,22,307,
徳島赤十字病院,徳島県小松島市小松島町字井利ノ口１０３,徳島県,小松島市,0885-32-2555,,,β2MG,,,34,50,17,1,35,405,
志度あきやまクリニック,〒769-2101香川県さぬき市志度2351-1,香川県,さぬき市,087-813-8012,,,,,,20,42,42,,20,20,
愛媛労災病院,愛媛県新居浜市南小松原町１３－２７,愛媛県,新居浜市,0897-33-6191,,,,,,9,12,,,3,199,
愛媛大学医学部附属病院,愛媛県東温市志津川４５４,愛媛県,東温市,089-964-5111,,,,,,8,12,,,8,602,
愛宕病院,高知県高知市愛宕町１－１－１３,高知県,高知市,088-823-3301,,,β2MG,,,6,25,,1,5,562,
愛宕病院分院,高知県高知市長浜６０１２－１,高知県,高知市,088-842-0411,,,,,,,,,,,180,
愛有会岩崎病院,〒769-1102 香川県三豊市詫間町松崎２７８０?４２６,香川県,三豊市,875836011,,,,,,30,54,32,,31,108,
新居浜病院,愛媛県新居浜市本郷３－１－１,愛媛県,新居浜市,0897-43-6161,,,,,,11,34,9,,15,203,
昭和病院,愛知県江南市野白町野白４６,愛知県,江南市,0587-56-4155,,,,,,,,,,,401,
村上記念病院,愛媛県西条市大町７３９,愛媛県,西条市,0897-56-2300,,,,,,38,66,49,,37,199,
林病院,愛媛県新居浜市中西町６－４６,愛媛県,新居浜市,0897-43-8383,,,,,,,,,,,76,
栗林病院,香川県高松市栗林町３－５－９,香川県,高松市,087-862-3171,,,,,,,,,,,199,
桑嶋ＣＬ,愛媛県新居浜市坂井町３－６－３,愛媛県,新居浜市,0897-40-4600,,,,,,50,90,85,,50,,
浦田病院,徳島県板野郡松茂町広島字南ハリ１３,徳島県,松茂町,088-699-2921,,,,,,,,,,,100,
済生会西条病院,愛媛県西条市朔日市２６９－１,愛媛県,西条市,0897-55-5100,,,β2MG,,,32,90,26,5,40,152,
湯浅ＣＬ,香川県高松市上之町１－３－２９,香川県,高松市,087-868-9111,,,,,,15,40,17,,15,,
白鳥病院,香川県東かがわ市松原９６３,香川県,東かがわ市,0879-25-4154,,,,,,0,,,,1,150,
矢野医院,徳島県板野郡藍住町矢上字西１６０－１０２,徳島県,藍住町,088-692-4411,,,,,,9,15,,,9,,
石川記念会HITO病院,愛媛県四国中央市上分町７８８－１,愛媛県,四国中央市,0896-58-2222,,,,,,,,,,,224,
祥耀会齋藤醫院,徳島県徳島市八百屋町２－１６,徳島県,徳島市,088-622-9188,,,,,,,,,,,139,
花ノ宮ＣＬ,香川県高松市花ノ宮町１丁目５番３６号,香川県,高松市,087-816-3555,,,,,,20,48,35,,20,,
藤田脳神経外科医院,香川県三豊市高瀬町新名９７１－１,香川県,三豊市,0875-72-1135,,,,,,,,,,,0,
西条中央病院,愛媛県西条市朔日市８０４,愛媛県,西条市,0897-56-0300,,,,,,35,45,21,,37,242,
豊橋病院,愛知県豊橋市中野町字中原１００,愛知県,豊橋市,0532-45-6121,,,,,,,,,,,327,
近森病院,高知県高知市大川筋１－１－１６,高知県,高知市,088-822-5231,,,,,,45,101,83,,55,429,
重信クリニック,愛媛県東温市志津川２４６－６,愛媛県,東温市,089-964-1188,,,β2MG,,,55,135,81,1,31,19,
香川労災病院,香川県丸亀市城東町３－３－１,香川県,丸亀市,0877-23-3111,,,,,,13,14,2,,13,404,
香川県済生会病院,香川県高松市多肥上町１３３１－１,香川県,高松市,087-868-1551,,,,,,30,30,22,,30,198,
香川県立中央病院,香川県高松市朝日町１－２－１,香川県,高松市,087-835-2222,,,,,,0,40,35,,16,526,
高松市立みんなの病院,香川県高松市仏生山町甲８４７－１,香川県,高松市,087-834-2181,,,,,,24,49,38,,26,299,
高松赤十字病院,香川県高松市番町４－１－３,香川県,高松市,087-831-7101,,,,,,35,37,5,,35,463,
高知医療センター,高知県高知市池２１２５－１,高知県,高知市,088-837-3000,,,,,,10,23,12,,10,548,
高知城東病院,高知県高知市大津乙７１９,高知県,高知市,088-866-2326,,,,,,,,,,,243,
高知大学医学部附属病院,高知県南国市岡豊町小蓮１８５－１,高知県,南国市,088-866-5811,,,,,,8,5,,,10,583,
高知生協病院,高知県高知市口細山２０６－９,高知県,高知市,088-840-0123,,,,,,,,,,,114,
高知赤十字病院,高知県高知市秦南町１－４－６３－１１,高知県,高知市,088-822-1201,,,,,,20,35,20,,20,402,
（有）四国動物医療センター,香川県木田郡三木町大字池戸３３０８－５,香川県,三木町,087-864-4060,,,,,,0,0,0,,0,0,
ＪＡ高知病院,高知県南国市明見字中野５２６－１,高知県,南国市,088-863-2181,,,,,,15,33,7,,15,178,
(株)サナス高松支店,〒761-8071 香川県高松市伏石町2163-21,香川県,高松市,087-815-0703,,,,,,,,,,,,
四国アルフレッサ(株) 高松,〒769-0103 香川県高松市国分寺町福家甲１２５５?１０,香川県,高松市,878744198,,,,,,,,,,,,
四国医療器（株）高知支店,高知県南国市領石２８１－１,高知県,南国市,888742555,,,,,,,,,,,,
四国薬業（株）,愛媛県松山市南高井町１８２８,愛媛県,松山市,899904175,,,,,,,,,,,,
大島器械（株）,徳島県徳島市応神町応神産業団地４－３０,徳島県,徳島市,886415566,,,,,,,,,,,,
東レ・メディカル（株）中四国支店,広島県広島市中区胡町４－２１朝日生命広島胡町ビル９F,広島県,広島市中区,082-544-2761,,,,,,,,,,,,
株式会社メディカルサービス,〒769-0104 香川県高松市国分寺町新名５９?３,香川県,高松市,870876978,,,,,,,,,,,,
河野医科器械株式会社,〒770-0052徳島県徳島市中島田町3丁目5-15,徳島県,徳島市,088-631-4325,,,,,,,,,,,,
（株）よんやく徳島第一支店,徳島県美馬市美馬町字養泉１４－１,徳島県,美馬市,883552166,,,,,,,,,,,,
（株）ウイン・インターナショナル,東京都中央区京橋２－２－１　京橋エドグラン２１Ｆ,東京都,中央区,03-3548-0788,,,,,,,,,,,,
（株）ウイン・インターナショナル第一営業部,東京都文京区大塚５－２５－１５,東京都,文京区,03-5940-5170,,,,,,,,,,,,
（株）エヒメ医療器,愛媛県松山市立花６－１－１,愛媛県,松山市,899331166,,,,,,,,,,,,
（株）エヒメ医療器新居浜営業所,愛媛県新居浜市八幡１－１５－２９　久保ビル１Ｆ,愛媛県,新居浜市,897365066,,,,,,,,,,,,
（株）カワニシ松山支店,愛媛県松山市枝松５－６－４５,愛媛県,松山市,899152560,,,,,,,,,,,,
（株）カワニシ高松支店,香川県高松市林町１４６５－１,香川県,高松市,878678777,,,,,,,,,,,,
（株）サナス,愛媛県松山市南吉田町２２０９－１,愛媛県,松山市,899893888,,,,,,,,,,,,
（株）シーメック,高知県高知市南久保９－８,高知県,高知市,888800666,,,,,,,,,,,,
（株）シーメック新居浜営業所,愛媛県新居浜市西連寺町２－７－７,愛媛県,新居浜市,897478168,,,,,,,,,,,,
ＪＭＡ（シーメック）,神奈川県海老名市めぐみ町2-2 ViNA GARDENS OFFICE 12F,神奈川県,海老名市,462351311,,,,,,,,,,,,
